ticker,company_name,sector,industry,current_price,market_cap,financial_score,moat_score,risk_deduction,total_score,passing,dividend_yield
INTU,Intuit Inc.,Technology,Software - Application,673.63,187538587648.0,4.0,4.5,0.0,8.5,True,0.67
SAP,SAP SE,Technology,Software - Application,247.26,288501563392.0,4.0,4.5,0.0,8.5,True,1.03
ORCL,Oracle Corporation,Technology,Software - Infrastructure,217.58,620275499008.0,4.0,4.5,0.0,8.5,True,0.92
ADP,"Automatic Data Processing, Inc.",Technology,Software - Application,261.63,105983565824.0,4.0,4.5,0.0,8.5,True,2.6
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,483.16,3591408713728.0,4.0,4.5,0.0,8.5,True,0.75
PAYX,"Paychex, Inc.",Technology,Software - Application,112.06,40329736192.0,4.0,4.0,0.0,8.0,True,3.86
ROP,"Roper Technologies, Inc.",Technology,Software - Application,447.56,48174206976.0,4.0,4.0,0.0,8.0,True,0.81
PEGA,Pegasystems Inc.,Technology,Software - Application,60.11,10283659264.0,4.0,4.0,0.0,8.0,True,0.2
NTAP,"NetApp, Inc.",Technology,Software - Infrastructure,117.27,23409246208.0,4.0,4.0,0.0,8.0,True,1.77
BSY,"Bentley Systems, Incorporated",Technology,Software - Application,43.19,13113820160.0,4.0,4.0,0.0,8.0,True,0.65
ADEA,Adeia Inc.,Technology,Software - Application,12.51,1369972480.0,4.0,3.5,0.0,7.5,True,1.6
OTEX,Open Text Corporation,Technology,Software - Application,33.52,8554564096.0,4.0,3.5,0.0,7.5,True,3.21
CSGS,"CSG Systems International, Inc.",Technology,Software - Infrastructure,77.01,2196338688.0,4.0,3.5,0.0,7.5,True,1.66
ADBE,Adobe Inc.,Technology,Software - Application,346.26,146883493888.0,3.0,4.5,0.0,7.5,True,0.0
INFY,Infosys Limited,Technology,Information Technology Services,18.07,75928961024.0,4.0,3.5,0.0,7.5,True,2.87
DOX,Amdocs Limited,Technology,Software - Infrastructure,77.07,8477083648.0,4.0,3.5,0.0,7.5,True,2.74
ADSK,"Autodesk, Inc.",Technology,Software - Application,306.74,65335619584.0,3.0,4.5,0.0,7.5,True,0.0
CSCO,"Cisco Systems, Inc.",Technology,Communication Equipment,77.97,308066844672.0,4.0,3.5,0.0,7.5,True,2.1
UPBD,"Upbound Group, Inc.",Technology,Software - Application,18.86,1092102144.0,4.0,3.5,0.0,7.5,True,8.27
EVTC,"EVERTEC, Inc.",Technology,Software - Infrastructure,29.59,1893281792.0,4.0,3.5,0.0,7.5,True,0.68
MSI,"Motorola Solutions, Inc.",Technology,Communication Equipment,374.39,62374830080.0,4.0,3.5,0.0,7.5,True,1.29
APH,Amphenol Corporation,Technology,Electronic Components,139.36,170584375296.0,4.0,3.5,0.0,7.5,True,0.72
SPNS,Sapiens International Corporation N.V.,Technology,Software - Application,43.32,2421615616.0,4.0,3.5,0.0,7.5,True,1.39
CRM,"Salesforce, Inc.",Technology,Software - Application,260.57,249104924672.0,3.5,4.0,0.0,7.5,True,0.64
IDCC,"InterDigital, Inc.",Technology,Software - Application,355.18,9164481536.0,4.0,3.5,0.0,7.5,True,0.79
WDC,Western Digital Corporation,Technology,Computer Hardware,168.89,57894735872.0,4.0,3.5,0.0,7.5,True,0.3
GRMN,Garmin Ltd.,Technology,Scientific & Technical Instruments,203.59,39189843968.0,4.0,3.0,0.0,7.0,True,1.77
MNDO,MIND C.T.I. Ltd,Technology,Software - Application,1.23,25050582.0,4.0,3.0,0.0,7.0,True,17.89
PLTR,Palantir Technologies Inc.,Technology,Software - Infrastructure,181.76,433213374464.0,3.0,4.0,0.0,7.0,True,0.0
WIT,Wipro Limited,Technology,Information Technology Services,2.85,30726928384.0,4.0,3.0,0.0,7.0,True,4.42
SHOP,Shopify Inc.,Technology,Software - Application,161.08,209700864000.0,3.0,4.0,0.0,7.0,True,0.0
SSNC,"SS&C Technologies Holdings, Inc.",Technology,Software - Application,88.32,21569566720.0,4.0,3.0,0.0,7.0,True,1.22
STX,Seagate Technology Holdings plc,Technology,Computer Hardware,278.79,60740550656.0,3.5,3.5,0.0,7.0,True,1.06
JKHY,"Jack Henry & Associates, Inc.",Technology,Information Technology Services,181.71,13203993600.0,4.0,3.0,0.0,7.0,True,1.28
GEN,Gen Digital Inc.,Technology,Software - Infrastructure,27.09,16706839552.0,4.0,3.0,0.0,7.0,True,1.85
UBER,"Uber Technologies, Inc.",Technology,Software - Application,91.32,190440423424.0,3.0,4.0,0.0,7.0,True,0.0
UI,Ubiquiti Inc.,Technology,Communication Equipment,577.92,34963959808.0,4.0,3.0,0.0,7.0,True,0.55
AAPL,Apple Inc.,Technology,Consumer Electronics,278.78,4137203793920.0,4.0,3.5,-1.0,6.5,False,0.37
MGIC,Magic Software Enterprises Ltd.,Technology,Information Technology Services,25.15,1234847488.0,4.0,2.5,0.0,6.5,False,4.02
ESE,ESCO Technologies Inc.,Technology,Scientific & Technical Instruments,195.59,5055243264.0,4.0,2.5,0.0,6.5,False,0.16
BELFB,Bel Fuse Inc.,Technology,Electronic Components,166.0,2101653504.0,4.0,2.5,0.0,6.5,False,0.17
MSTR,Strategy Inc,Technology,Software - Application,178.99,51433443328.0,3.0,3.5,0.0,6.5,False,0.0
RAMP,"LiveRamp Holdings, Inc.",Technology,Software - Infrastructure,29.45,1932079488.0,3.0,3.5,0.0,6.5,False,0.0
FICO,Fair Isaac Corporation,Technology,Software - Application,1798.53,43171295232.0,2.5,4.0,0.0,6.5,False,0.0
LRCX,Lam Research Corporation,Technology,Semiconductor Equipment & Materials,158.7,200125825024.0,4.0,3.5,-1.0,6.5,False,0.66
MU,"Micron Technology, Inc.",Technology,Semiconductors,237.22,266955472896.0,4.0,3.5,-1.0,6.5,False,0.19
AGYS,"Agilysys, Inc.",Technology,Software - Application,126.02,3533953024.0,3.0,3.5,0.0,6.5,False,0.0
ACN,Accenture plc,Technology,Information Technology Services,266.59,166046285824.0,4.0,2.5,0.0,6.5,False,2.45
CDNS,"Cadence Design Systems, Inc.",Technology,Software - Application,337.53,91973541888.0,3.0,3.5,0.0,6.5,False,0.0
ADI,"Analog Devices, Inc.",Technology,Semiconductors,281.29,137734815744.0,4.0,3.5,-1.0,6.5,False,1.41
