ticker,company_name,sector,industry,current_price,market_cap,financial_score,moat_score,risk_deduction,total_score,passing,dividend_yield
NEM,Newmont Corporation,Basic Materials,Gold,89.76,98596847616.0,4.0,2.5,0.0,6.5,False,1.11
RIO,Rio Tinto Group,Basic Materials,Other Industrial Metals & Mining,73.06,119340138496.0,4.0,2.5,0.0,6.5,False,5.11
BHP,BHP Group Limited,Basic Materials,Other Industrial Metals & Mining,58.85,151177560064.0,4.0,2.5,0.0,6.5,False,3.74
B,B,Basic Materials,Gold,41.04,70171107328.0,4.0,2.5,0.0,6.5,False,1.71
LIN,Linde plc,Basic Materials,Specialty Chemicals,399.57,187362181120.0,4.0,2.5,0.0,6.5,False,1.5
SCCO,Southern Copper Corporation,Basic Materials,Copper,140.41,115009200128.0,4.0,2.5,0.0,6.5,False,2.56
AEM,Agnico Eagle Mines Limited,Basic Materials,Gold,168.83,84760518656.0,4.0,2.5,0.0,6.5,False,0.95
AGI,Alamos Gold Inc.,Basic Materials,Gold,36.08,15178234880.0,4.0,2.0,0.0,6.0,False,0.28
HMY,Harmony Gold Mining Company Limited,Basic Materials,Gold,19.29,12166385664.0,4.0,2.0,0.0,6.0,False,1.11
KGC,Kinross Gold Corporation,Basic Materials,Gold,27.28,33350445056.0,4.0,2.0,0.0,6.0,False,0.51
GFI,Gold Fields Limited,Basic Materials,Gold,42.21,37988052992.0,4.0,2.0,0.0,6.0,False,1.83
PAAS,Pan American Silver Corp.,Basic Materials,Gold,44.39,18734665728.0,4.0,2.0,0.0,6.0,False,1.26
AU,AngloGold Ashanti plc,Basic Materials,Gold,82.45,41628037120.0,4.0,2.0,0.0,6.0,False,3.06
FNV,Franco-Nevada Corporation,Basic Materials,Gold,203.17,39320088576.0,4.0,2.0,0.0,6.0,False,0.75
MLM,"Martin Marietta Materials, Inc.",Basic Materials,Building Materials,624.37,37653970944.0,4.0,2.0,0.0,6.0,False,0.53
CF,"CF Industries Holdings, Inc.",Basic Materials,Agricultural Inputs,77.88,12614453248.0,4.0,2.0,0.0,6.0,False,2.57
HL,Hecla Mining Company,Basic Materials,Other Precious Metals & Mining,16.97,11371574272.0,4.0,2.0,0.0,6.0,False,0.09
RGLD,"Royal Gold, Inc.",Basic Materials,Gold,201.66,17019713536.0,4.0,2.0,0.0,6.0,False,0.94
WPM,Wheaton Precious Metals Corp.,Basic Materials,Gold,108.09,49139798016.0,4.0,2.0,0.0,6.0,False,0.61
ESI,Element Solutions Inc,Basic Materials,Specialty Chemicals,26.39,6386377728.0,4.0,1.5,0.0,5.5,False,1.21
MEOH,Methanex Corporation,Basic Materials,Chemicals,38.1,2946635520.0,4.0,1.5,0.0,5.5,False,1.94
